"title","author","year_pub","provider","country","crop","uri","curi","nuri"
"N2Africa impact survey - Malawi, 2013","Vanlauwe, B., et.al","2020","IITA","Malawi","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/fcwa-d071","doi_10.25502_fcwa-d071",NA
"N2Africa impact survey - Mozambique, 2013","Vanlauwe, B., et.al","2020","IITA","Mozambique","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/r6mn-jn95","doi_10.25502_r6mn-jn95",NA
"N2Africa MLE data, 2015","Vanlauwe, B., et.al","2020","IITA","Ghana, Ethiopia, Tanzania, Nigeria, Kenya, Zimbabwe, Malawi, Mozambique, Uganda, Rwanda, Democratic Republic of Congo","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/094e-da98","doi_10.25502_094e-da98",NA
"N2Africa MLE data, 2015 - 2017","Vanlauwe, B., et.al","2020","IITA","Ethiopia, Ghana, Nigeria, Tanzania, Uganda","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/1qq4-w409","doi_10.25502_1qq4-w409",NA
"N2Africa MLE data, 2015 - 2019","Vanlauwe, B., et.al","2020","IITA","Democratic Republic of Congo, Ethiopia, Mozambique, Uganda, Nigeria, Zimbabwe, Ghana, Tanzania, Rwanda, Malawi","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/135g-kc39","doi_10.25502_135g-kc39",NA
"N2Africa MLE data, 2016","Vanlauwe, B., et.al","2020","IITA","Ghana, Nigeria, Uganda, Zimbabwe, Malawi, Mozambique, Ethiopia, Kenya","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/9vgy-h440","doi_10.25502_9vgy-h440",NA
"N2Africa MLE data, 2016 - 2017","Vanlauwe, B., et.al","2020","IITA","Ghana, Tanzania, Ethiopia, Uganda, Kenya","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/ax1c-6856","doi_10.25502_ax1c-6856",NA
"N2Africa MLE data, 2017","Vanlauwe, B., et.al","2020","IITA","Ghana, Nigeria, Tanzania, Uganda, Kenya, Rwanda, Zimbabwe, Malawi, Mozambique, Ethiopia","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/pgca-rz65","doi_10.25502_pgca-rz65",NA
"N2Africa MLE data, 2017 - 2018","Vanlauwe, B., et.al","2020","IITA","Uganda, Zimbabwe, Ghana, Tanzania, Nigeria, Ethiopia, Kenya, Rwanda","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/tkcg-6205","doi_10.25502_tkcg-6205",NA
"N2Africa MLE data, 2018","Vanlauwe, B., et.al","2020","IITA","Ghana, Nigeria, Tanzania, Ethiopia","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/dt06-7a71","doi_10.25502_dt06-7a71",NA
