title,author,year_pub,provider,region,crop,uri,group
"TAMASA Nigeria. Variety validation trials dataset for Northern Guinea Savanna, Nigeria. 2016","Adnan et al., ",2017,CIMMYT,Nigeria,maize,hdl:11529/223872,agronomy
"Validation exercise with cassava, plot by plot comparison, of 2 fertilizer rates"," Kreye et al.,",2022,IITA,Nigeria,cassava,doi:10.25502/SVCV-DZ30/D,agronomy
Inhertiance of resistance to striga hermonthica in early white and yellow maize,Badu-Apraku et al,2020,IITA,Nigeria,maize,doi:10.25502/TSSE-RN11/D,diseases
Evaluation of testcrosses involving extra-early maturing maize inbred lines under under stress and nonstress environments,Badu-Apraku et al,2014,IITA,Nigeria,maize,doi:10.25502/m7a3-nv86/d,varieties_maize
Phenotypic data of combining ability and heterotic grouping of turcicum-resistant early-maturing maize inbreds,Badu-Apraku et al,2021,IITA,Nigeria,maize,doi:10.25502/FGTY-G146/D,varieties_maize
Phenotypic data of Genetic Diversity and Inter-Trait Relationships among Maize Inbreds Containing Genes from Zea diploperennis and Hybrid Performance under Contrasting Environments,Badu-Apraku et al,2012,IITA,Nigeria,maize,doi:10.25502/zp5m-jy47/d,varieties_maize
"Grain Yield and Other Agronomic Traits of International Maize Trials ï¿½ Gambia, 2016",Menkir,2016,IITA,Gambia,maize,doi:10.25502/20180830/1552/MA,agronomy
Crop Diversification in Maize-Based Cropping System: Maize-Sesame Intercropping,Kotu & Nurudeen,2015,IITA,Ghana,maize,doi:10.7910/DVN/8UFV7X,agronomy
Ghana Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Baseline Evaluation Survey,Azzarri et al,2014,IFPRI,Ghana,Survey,doi:10.7910/DVN/QUB9UT,survey
Rapid Characterisation of Farming Systems in Africa RISING - Ghana,Groot et al,2013,WUR,Ghana,Survey,doi:10.7910/DVN/ZH8UZI,survey
Scaling-Up Sustainable Cropping Practices: 'Zai' and 'Micro-dosing',"Kotu et al.,",2015,IITA,Ghana,maize,doi:10.7910/DVN/J6BHT8,agronomy
Rapid Characterisation of Farming Systems in Africa RISING - Ghana,Groot et al,2014,IITA,Ghana,maize,doi:10.7910/DVN/ZH8UZI,agronomy
