name,sciname,altname,is_preferred,harvest,groups,fresh_moisture,max_yield,NOTE,snake_case,CamelCase,AGROVOC,CATEGORY,URI
pea,Pisum sativum,,,seed,pulses,,10000,,peas,Peas,peas,pulses,http://aims.fao.org/aos/agrovoc/c_13177
peach,,,,,fruits,,,,peaches,Peaches,peaches,fruits,http://aims.fao.org/aos/agrovoc/c_5638
pear,,,,,fruits,,,,pears,Pears,pears,fruits,http://aims.fao.org/aos/agrovoc/c_5645
pearl millet,Pennisetum glaucum,,,grain,cereals,,15000,,pearl_millet,PearlMillet,pearl millet,cereals,http://aims.fao.org/aos/agrovoc/c_e4e17d1b
pecan,,,,,nuts,,,,pecans,Pecans,pecans,nuts,http://aims.fao.org/aos/agrovoc/c_13178
pepino,,,,,fruits,,,,pepino,Pepino,pepino,fruits,http://aims.fao.org/aos/agrovoc/c_ea979075
pepper,Capsicum spp,,,fruit,spices,,100000,,pepper,Pepper,pepper,spices,http://aims.fao.org/aos/agrovoc/c_25495
peppermint,,,,,culinary_herbs,,,,peppermint,Peppermint,peppermint,culinary_herbs,http://aims.fao.org/aos/agrovoc/c_ae411b49
perilla,Perilla frutescens,,,,oil_seeds,,,,perilla_seed,PerillaSeed,perilla seed,oil_seeds,http://aims.fao.org/aos/agrovoc/c_04f3705c
phacelia,Phacelia tanacetifolia,,,green manure,green_manures,,,,phacelia,Phacelia,,,
pigeon pea,Cajanus cajan,,,seed,legumes,,7000,,pigeon_peas,PigeonPeas,pigeon peas,legumes,http://aims.fao.org/aos/agrovoc/c_13356
pineapple,,,,,fruits,,,,pineapples,Pineapples,pineapples,fruits,http://aims.fao.org/aos/agrovoc/c_13394
pistachio,,,,,nuts,,,,pistachios,Pistachios,pistachios,nuts,http://aims.fao.org/aos/agrovoc/c_13413
plantain,,,,,vegetables,,,,plantains,Plantains,plantains,vegetables,http://aims.fao.org/aos/agrovoc/c_5989
plum,,,,,fruits,,,,plums,Plums,plums,fruits,http://aims.fao.org/aos/agrovoc/c_6028
pomegranate,,,,,fruits,,,,pomegranates,Pomegranates,pomegranates,fruits,http://aims.fao.org/aos/agrovoc/c_13505
poppy,,,,,oil_seeds,,,,poppy_seed,PoppySeed,poppy seed,oil_seeds,http://aims.fao.org/aos/agrovoc/c_25498
potato,Solanum tuberosum,,,tuber,vegetables,80,175000,,potatoes,Potatoes,potatoes,vegetables,http://aims.fao.org/aos/agrovoc/c_13551
pulse,spp,,NO,bean,pulses,,,,pulse,Pulse,,,
pummelo,,,,,fruits,,,,pummelos,Pummelos,pummelos,fruits,http://aims.fao.org/aos/agrovoc/c_6367
pumpkin,,,,fruit; seed,vegetables,,,,pumpkins,Pumpkins,pumpkins,vegetables,http://aims.fao.org/aos/agrovoc/c_6369
quince,,,,,fruits,,,,quinces,Quinces,quinces,fruits,http://aims.fao.org/aos/agrovoc/c_13714
quinoa,,,,,pseudocereals,,,,quinoa,Quinoa,quinoa,pseudocereals,http://aims.fao.org/aos/agrovoc/c_13716
radicchio,,,,,vegetables,,,,radicchio,Radicchio,radicchio,vegetables,http://aims.fao.org/aos/agrovoc/c_c32f344d
radish,Raphanus sp.,,,root,vegetables,,,,radishes,Radishes,radishes,vegetables,http://aims.fao.org/aos/agrovoc/c_13735
rambutan,,,,,fruits,,,,rambutans,Rambutans,rambutans,fruits,http://aims.fao.org/aos/agrovoc/c_13754
ramie,,,,,plant_fibres,,,,ramie,Ramie,ramie,plant_fibres,http://aims.fao.org/aos/agrovoc/c_6442
rapeseed,Brassica napus,,,seed,oil_seeds,,5000,,rapeseed,Rapeseed,rapeseed,oil_seeds,http://aims.fao.org/aos/agrovoc/c_25499
raspberry,,,,,fruits,,,,raspberries,Raspberries,raspberries,fruits,http://aims.fao.org/aos/agrovoc/c_6458
red clover,Trifolium pratense,,,green manure,green_manures; feed_crops,,,,red_clover,RedClover,,,
red currant,,,,,fruits,,,,red_currants,RedCurrants,red currants,fruits,http://aims.fao.org/aos/agrovoc/c_6479
rhubarb,,,,,vegetables,,,,rhubarb,Rhubarb,rhubarb,vegetables,http://aims.fao.org/aos/agrovoc/c_11089
